"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";
"0180e606-0255-454b-a4f4-2cbb22d94787";"Kermis Burgemeester In 't Veldpark";"Ook dit jaar wordt er weer een kermis georganiseerd in het Burgemeester In 't Veldpark. De van oorsprong kinderkermis is inmiddels uitgegroeid tot een volwaardige kermis.  ";"Ook dit jaar wordt er weer een kermis georganiseerd in het Burgemeester In 't Veldpark. De van oorsprong kinderkermis is inmiddels uitgegroeid tot een volwaardige kermis.  ";"zaterdag 23 april 2011 t/m donderdag 5 mei 2011 ma-zo: geopend";"Kermis";"2.3.8";"Burgemeester In 't Veldpark";"Zaandam";"";"";"52.442040";"4.829199";"";"";"";"23/04/2011";"05/05/2011";"";
"0190a951-0470-4c6d-9593-9b26d4e00034";"Sint Maarten";"Start van de jaarlijkse rondgang t.g.v. Sint Maarten, de heilige van het delen.  ";"Start van de jaarlijkse rondgang t.g.v. Sint Maarten, de heilige van het delen.  ";"tot vrijdag 11 november 2011 ma-do: gesloten vr: 18:00 uur za, zo: gesloten";"Varia";"2.3.18";"alle huizen Zuiderwoude";"Zuiderwoude";"";"";"52.431981";"5,035508";"http://www.kerkzuiderwoude.nl";"";"";"11/11/2011";"11/11/2011";"";
"01a47bac-ada3-4f6b-a86b-3d02ce56311d";"Stadswandeling met gids door Oud Monnickendam";"Gratis stadswandeling met gids door Oud Monnickendam. (niet voor groepen) Vanaf 11 mei t/m 28 september 2012,verzamelen op vrijdag om 19.30uur bij de Speeltoren.   Wandeling voor groepen, ook in andere talen, mogelijk op ieder tijdstip gedurende het gehele jaar. Kosten &euro: 3,00 p.p. Min 6 personen.     Website organisator: http://www.oudmonnickendam.nl/   ";"Gratis stadswandeling met gids door Oud Monnickendam. (niet voor groepen) Vanaf 11 mei t/m 28 september 2012,verzamelen op vrijdag om 19.30uur bij de Speeltoren.   Wandeling voor groepen, ook in andere talen, mogelijk op ieder tijdstip gedurende het gehele jaar. Kosten &euro: 3,00 p.p. Min 6 personen.     Website organisator: http://www.oudmonnickendam.nl/   ";"vrijdag 8 juni 2012 t/m vrijdag 8 juni 2012 ma-do: gesloten vr: 19:30 uur za, zo: gesloten";"Wandeltocht";"2.3.17";"Oude Stad. Verzamelen bij de Speeltoren";"Monnickendam";"";"";"52.455569";"5,039232";"";"http://media.iamsterdam.com/ndtrc/Images/20111221/0193a8c9-8e47-472e-baea-9e2654161a8f.jpg";"http://media.iamsterdam.com/ndtrc/Images/20111221/0193a8c9-8e47-472e-baea-9e2654161a8f.jpg";"08/06/2012";"08/06/2012";"";
"01d9c20d-6476-4d3c-a0f6-df4ae5b9780c";"Stadswandeling met gids door Oud Monnickendam";"Gratis stadswandeling met gids door Oud Monnickendam. (niet voor groepen) Vanaf 11 mei t/m 28 september 2012,verzamelen op vrijdag om 19.30uur bij de Speeltoren.   Wandeling voor groepen, ook in andere talen, mogelijk op ieder tijdstip gedurende het gehele jaar. Kosten &euro: 3,00 p.p. Min 6 personen.     Website organisator: http://www.oudmonnickendam.nl/ E-mail adres contactpersoon: rondleidingen@oudmonnickendam.nl Telefoonnummer contactpersoon: 0299653904   ";"Gratis stadswandeling met gids door Oud Monnickendam. (niet voor groepen) Vanaf 11 mei t/m 28 september 2012,verzamelen op vrijdag om 19.30uur bij de Speeltoren.   Wandeling voor groepen, ook in andere talen, mogelijk op ieder tijdstip gedurende het gehele jaar. Kosten &euro: 3,00 p.p. Min 6 personen.     Website organisator: http://www.oudmonnickendam.nl/ E-mail adres contactpersoon: rondleidingen@oudmonnickendam.nl Telefoonnummer contactpersoon: 0299653904   ";"vrijdag 6 juli 2012 t/m vrijdag 6 juli 2012 ma-do: gesloten vr: 19:30 uur za, zo: gesloten";"Wandeltocht";"2.3.17";"Oude stad. Verzamelen bij de Speeltoren";"Monnickendam";"";"";"52.455569";"5,039232";"";"http://media.iamsterdam.com/ndtrc/Images/20120111/a590e6cc-765f-4279-b3f5-4dc2185d9e65.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120111/a590e6cc-765f-4279-b3f5-4dc2185d9e65.jpg";"06/07/2012";"06/07/2012";"";
"01df36ad-0dc3-4cc9-9a12-dc8429f1a999";"Concerten bij Kaarslicht Jisp";"Klassieke muziek uit de romantisch klassiek periode, gespeeld door topmusici";"Klassieke muziek uit de romantisch klassiek periode, gespeeld door topmusici.<br /> Kijk voor de musici per avond op de website.";"zaterdag 29 september 2012, 20:15 uur zaterdag 27 oktober 2012, 20:15 uur zaterdag 15 december 2012, 20:15 uur zaterdag 26 januari 2013, 20:15 uur zaterdag 23 februari 2013, 20:15 uur zaterdag 23 maart 2013, 20:15 uur zaterdag 20 april 2013, 20:15 uur";"Varia";"2.3.18";"Hervormde kerk";"Jisp";"Dorpsstraat 46";"1546 LG";"52.507046";"4.854356";"";"";"";"";"";"29/09/2012,27/10/2012,15/12/2012,26/01/2013,23/02/2013,23/03/2013,20/04/2013";
"01fcb4bb-5061-4137-a0e3-3526aee55ea1";"Peuter Paas Pret in het Zaans Museum";" Iedere laatste zondag van de maand is het Zaans Museum even het domein van de aller jongste bezoekertjes. Kinderen van 2,5 - 4 jaar kunnen meedoen aan de speciale activiteit Peuter Pret. De kinderen gaan op stap met Mia Muis en maken op speelse wijze kennis met het wonen in de Zaanstreek. Mia Muis woont samen met haar zeven kinderen al jaren in het Zaans Museum. Mia neemt de kinderen mee naar haar eigen huisje in het museum en laat hen daar een kijkje nemen. Daarna is het tijd om samen met Mia het museum in te gaan.  Peuter Pret is een speels en actief programma speciaal gemaakt v";" Iedere laatste zondag van de maand is het Zaans Museum even het domein van de aller jongste bezoekertjes. Kinderen van 2,5 - 4 jaar kunnen meedoen aan de speciale activiteit Peuter Pret. De kinderen gaan op stap met Mia Muis en maken op speelse wijze kennis met het wonen in de Zaanstreek. Mia Muis woont samen met haar zeven kinderen al jaren in het Zaans Museum. Mia neemt de kinderen mee naar haar eigen huisje in het museum en laat hen daar een kijkje nemen. Daarna is het tijd om samen met Mia het museum in te gaan.  Peuter Pret is een speels en actief programma speciaal gemaakt voor peuters met iedere maand een ander thema. Deze maand is het thema Peuter Paas Pret.   ";"zondag 24 april 2011 t/m zondag 24 april 2011 ma-zo: geopend";"Varia";"2.3.18";"Zaans Museum";"Zaandam";"Schansend 7";"1509 AW";"52.473702";"4.823114";"http://www.zaansmuseum.nl";"";"";"24/04/2011";"24/04/2011";"";
"022c14a4-def8-489e-921e-92b7bc98ac75";"Zaan de Wandel";"Wandelaars opgelet! Op zondag 9 september kun je vijf, tien, of twintig kilometer lopen tijdens Zaan de Wandel. Een gezellige, sportieve dag voor jong en oud, individueel of als team.";"Wandelaars opgelet! Op zondag 9 september kun je vijf, tien, of twintig kilometer lopen tijdens Zaan de Wandel. Een gezellige, sportieve dag voor jong en oud, individueel of als team. De opbrengst is voor A Sister's Hope, een internationale stichting, die geld inzamelt voor borstkankeronderzoek. <br /> <br /> De wandeltocht voert door het mooie polderlandschap van Zaanstad en Wormerland. Voor de 10 en 20 km wandelaars zijn er onderweg pitstops, waar je kunt pauzeren. Voor gezonde snacks en drinken wordt gezorgd. Na de finish van alle afstanden is er een feestelijke afsluiting in het St. Michael College en dan wordt de opbrengst direct bekendgemaakt.";"zondag 9 september 2012";"Sportevenement";"2.3.13";"Start St. Michael College";"ZAANDAM";"Leeghwaterweg 7";"1509 BS";"52.474109";"4.825493";"http://www.zaandewandel.nl/evenement/informatie/";"http://media.iamsterdam.com/ndtrc/Images/20120801/b3b5e1d6-144c-43fc-a911-d630d59e8540.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120801/b3b5e1d6-144c-43fc-a911-d630d59e8540.jpg";"";"";"09/09/2012";
"022f9387-b157-416b-a19c-0bd928aaa09f";"Thuiswedstrijd Telstar - Go Ahead Eagles";"Thuiswedstrijd Telstar - Go Ahead Eagles";"";"vrijdag 29 april 2011 t/m vrijdag 29 april 2011 ma-zo: geopend";"Sportevenement";"2.3.13";"TATA Steel Stadion";"Velsen-Zuid";"Minister van Houtenlaan 123";"1981 EK";"52.456853";"4.633110";"http://www.sctelstar.nl";"";"";"29/04/2011";"29/04/2011";"";
"024a10eb-198b-4c85-9deb-55243d681a04";"Rode oortjes";"De tentoonstelling Rode oortjes gaat over voortplanting bij mens, dier en plant. Het geheel is opgebouwd als een peepshow. Bij binnenkomst kom je in een lange gang, met aan weerszijden kamertjes die zijn afgesloten d.m.v. een zwart gordijn. Een manier om naar binnen te kunnen kijken is met een &quot:Rood Oortje&quot:, een muntje die aan de balie is uitgegeven. Door middel van een draaischijf kunnen de bezoekers door een piepklein gaatje naar binnen gluren, om vervolgens via het gordijn de ruimte binnen te gaan. De verschillende ruimtes zijn een: UV-ruimte (bekijk hoe een bij een bloem zie";"De tentoonstelling Rode oortjes gaat over voortplanting bij mens, dier en plant. Het geheel is opgebouwd als een peepshow. Bij binnenkomst kom je in een lange gang, met aan weerszijden kamertjes die zijn afgesloten d.m.v. een zwart gordijn. Een manier om naar binnen te kunnen kijken is met een &quot:Rood Oortje&quot:, een muntje die aan de balie is uitgegeven. Door middel van een draaischijf kunnen de bezoekers door een piepklein gaatje naar binnen gluren, om vervolgens via het gordijn de ruimte binnen te gaan. De verschillende ruimtes zijn een: UV-ruimte (bekijk hoe een bij een bloem ziet), kinderboerderij (kikkers, vissen, slakken, vogels, zoogdieren etc), laboratorium ( ongeslachtelijke voortplanting), bos (zaadverspreiding, hoe gaat dat?), baarmoeder (weet je nog hoe het was... ?), mens (hoe doen mensen het, voorbehoedmiddelen, pubertijd, SOA), erotiek (boekjes, hulpmiddelen etc).  ";"vrijdag 1 april 2011 t/m vrijdag 1 juli 2011 ma-zo: geopend";"Tentoonstelling";"2.3.14";"Natuurmuseum E. Heimans";"Zaandam";"Thijssestraat 1";"1504 LB";"52.440629";"4.846625";"http://www.nme-zaanstreek.nl";"http://media.iamsterdam.com/ndtrc/Images/20110224/bd83bfeb-cafe-49cd-a078-d3d8f1c65747.jpg";"http://media.iamsterdam.com/ndtrc/Images/20110224/bd83bfeb-cafe-49cd-a078-d3d8f1c65747.jpg";"01/04/2011";"01/07/2011";"";
"025be497-525a-4156-b2ed-ce9cfadb7cc5";"Lezing Russische kleding";" Larisa Bilous houdt in het Czaar Peterhuisje een interessante lezing over Russische kleding: van feestkleding tot alledaagse kleding en werkkleding. Na de lezing geeft Larisa een bijzondere workshop, waarbij u zelf traditionele Russische popjes van stof maakt.   ";" Larisa Bilous houdt in het Czaar Peterhuisje een interessante lezing over Russische kleding: van feestkleding tot alledaagse kleding en werkkleding. Na de lezing geeft Larisa een bijzondere workshop, waarbij u zelf traditionele Russische popjes van stof maakt.   ";"zondag 13 maart 2011 t/m zondag 13 maart 2011 ma-zo: geopend";"Lezing/Debat";"2.3.9";"Czaar Peterhuisje, Zaans Museum";"Zaandam";"Schansend 7";"1509 AW";"52.473702";"4.823114";"http://www.zaansmuseum.nl";"";"";"13/03/2011";"13/03/2011";"";
"02748a31-91f6-4dde-b338-ddfd3f8858a2";"KidsWeken SnowPlanet";"De KidsWeek 2012  zit weer boordevol sport, spel, lol en plezier. Naast het dagelijkse sneeuwprogramma waar je op je eigen niveau ski- of snowboardles krijgt, zullen er in de  middag afwisselende activiteiten plaatsvinden.";"Het middagprogramma van de KidsWeek 2012 is nog een verrassing, maar we kunnen je wel alvast verklappen dat het<br /> een doldwaze week wordt die je nooit meer zal vergeten. Van al die activiteiten krijg je honger, daarom staat er iedere<br /> dag een overheerlijke lunch en avondmaal voor je klaar. Als afsluiting van de week kunnen jij en je ouders op de laatste<br /> dag meedoen aan een gezellige barbecue.<br /> ";"maandag 20 augustus 2012 t/m vrijdag 24 augustus 2012 ma-vr: 08:30 - 18:00 uur za, zo: gesloten";"Varia";"2.3.18";"";"VELSEN-ZUID";"Heuvelweg 6-8";"1981 LV";"52.449596";"4.678821";"http://www.snowplanet.nl";"http://media.iamsterdam.com/ndtrc/Images/20120217/6efe9ef6-5601-4199-8ca4-52a15e7ef98d.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120217/6efe9ef6-5601-4199-8ca4-52a15e7ef98d.jpg";"20/08/2012";"24/08/2012";"";
"0282ae22-fa88-47e6-a370-8ea15b70e30e";"Het Molenmuseum in ontwikkeling, van rariteitenkabinet tot geregistreerd museum";"Deze informatieve expositie laat de plannen zien die aangaande het Molenmuseum zijn ontwikkeld";"Deze informatieve expositie laat de plannen zien die aangaande het Molenmuseum zijn ontwikkeld.";"dinsdag 15 mei 2012 t/m zondag 26 augustus 2012 ma: gesloten di-vr: 11:00 - 17:00 uur za, zo: 13:00 - 17:00 uur";"Tentoonstelling";"2.3.14";"Molenmuseum";"KOOG AAN DE ZAAN";"Museumlaan 18";"1541 LP";"52.468245";"4.807893";"http://www.zaanschemolen.nl/";"http://media.iamsterdam.com/ndtrc/Images/20120427/f00d345c-0e4d-4709-96a6-20e4b7a1ace0.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120427/f00d345c-0e4d-4709-96a6-20e4b7a1ace0.jpg";"15/05/2012";"26/08/2012";"";
"02a41cc4-c678-4ece-af6c-b85c91042018";"Tentoonstelling Jisperkerk";"Ontdek alles over de archeologie van Jisp!";"Tijdens deze tentoonstelling zijn de vele archeologische vondsten in Jisp te zien, toegelicht door teksten en afbeeldingen.<br /> <br /> Voor kinderen is er een speurtocht door de kerk.";"tot zondag 30 september 2012 ma-vr: gesloten za, zo: 11:00 - 16:00 uur";"Tentoonstelling";"2.3.14";"Jisperkerk";"JISP";"Dorpsstraat 46";"1546 LK";"52.507046";"4.854356";"http://www.jisperkerk.nl";"";"";"01/09/2012";"30/09/2012";"";
"02acfeb0-9cab-465b-8503-09041e22e13b";"Dam tot Dam FietsClassic";"Op zondag 23 september 2012 vindt de zesde editie plaats van de Dam tot Dam FietsClassic! Start en Finish zijn op de Dam in Amsterdam. ";"Het fietsspektakel 'de Dam tot Dam Fietsclassic', wordt op op zondag 23 september&nbsp:gehouden.&nbsp:Evenals voorgaande jaren zijn zowel de snelle renners als de mensen op een stadsfiets welkom. Voor iedereen is er een prachtige route te rijden! Na de start worden onder meer Zaandam, Volendam, Monnickendam, Edam en Durgerdam aangedaan.<br /> <br /> Er zijn verschillende afstanden te rijden tijdens de Dam tot Dam&nbsp:FietsClassic: 40, 60, 100 en 140 kilometer. Net als elk jaar doen er weer veel mensen uit de streek aan deze fietstocht mee. De tocht gaat&nbsp:door diverse pittoreske dorpjes en de wat grotere plaatsen in Noord-Holland. Zowel de fanatieke toerfietser als ook de stadsfietser zijn welkom. Je kunt op je gemak toeren en tussendoor even uitrusten op een picknickbankje bij een van de verzorgingsposten. Als je maar voor 17.00 uur terug bent op de Dam in Amsterdam.";"zondag 23 september 2012";"Sportevenement";"2.3.13";"Start: Dam Amsterdam";"ZAANDAM";"Burcht";"1501 BA";"4.827764";"52.438356";"http://www.damtotdamfietsclassic.nl";"http://media.iamsterdam.com/ndtrc/Images/20110303/575bb264-bff5-41b1-839f-777a37f6e19c.jpg";"http://media.iamsterdam.com/ndtrc/Images/20110303/575bb264-bff5-41b1-839f-777a37f6e19c.jpg";"";"";"23/09/2012";
"02c37dcb-e151-40df-84ec-1761fbaf125a";"Wielerronde van Assendelft";"Op zaterdag 6 oktober klinkt het startschot voor de jaarlijkse Wielerronde van Assendelft. Het belooft ook dit jaar een spannend spektakel te worden waarbij renners in de sportklasse en elite strijden om een plaats op het erepodium.";"Op zaterdag 6 oktober klinkt het startschot voor de jaarlijkse Wielerronde van Assendelft. Het belooft ook dit jaar een spannend spektakel te worden waarbij renners in de sportklasse en eliterenners strijden om een plaats op het erepodium.";"zaterdag 6 oktober 2012";"Sportevenement";"2.3.13";"Wielerronde van Assendelft";"ASSENDELFT";"Dorpsstraat";"1566 AA";"52.465976";"4.740139";"http://www.wielerland.nl/index.php%3FItemid%3D242%26c%3Du%26id%3D29589%26option%3Dcom_database%26sc%3D1";"http://media.iamsterdam.com/ndtrc/Images/20120510/abe17c44-a07d-4233-8798-be00d0833402.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120510/abe17c44-a07d-4233-8798-be00d0833402.jpg";"";"";"06/10/2012";
"02d0d2ac-c91d-451c-8710-8f946e6ef9c9";"Zomeravondmarkt Kudelstaart";"Braderie op de Kudelstaartseweg van 14:00 tot 21:00 uur. Lokatie: Kudelstaartseweg, van kruising Herenweg/Kudelstaartseweg t/m Dorpshuis Kudelstaart   Organisator: De Pretpeurders  ";"";"vrijdag 1 juni 2012, 14:00 - 21:00 uur";"Markt";"2.3.10";"";"KUDELSTAART";"Kudelstaartseweg";"1433 GN";"52.245086";"4.754982";"";"http://media.iamsterdam.com/ndtrc/Images/20120313/29f22d23-3fb4-4393-879d-d2ca6e992a3e.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120313/29f22d23-3fb4-4393-879d-d2ca6e992a3e.jpg";"";"";"01/06/2012";
"02d1c248-f6a5-4290-b2b8-44b16e2a236b";"Geraniummarkt Aalsmeer";"Eens per jaar (de zaterdag voor Moederdag) organiseert Groei en Bloei afdeling Aalsmeer in samenwerking met de winkeliersvereniging een Geraniumjaarmarkt op het Raadhuisplein te Aalsmeer. Hiervoor worden beroepskwekers uitgenodigd hun waren te verkopen.   De afdeling Aalsmeer van de KMTP organiseert op deze dag een strenge keuring. De deelnemers zijn verplicht om na bekendmaking van de keuringsresultaten deze aan het kopende publiek te tonen, zodat u altijd weet of de kwaliteit en de kwaliteit/prijsverhouding goed is.";"";"zaterdag 12 mei 2012";"Markt";"2.3.10";"";"AALSMEER";"Centrum / Zijdstraat";"1431 ED";"52.268762";"4.746984";"http://www.aalsmeercentrum.nl/";"http://media.iamsterdam.com/ndtrc/Images/20120313/9aeed41f-e86c-46c5-957f-b29b44db16d5.jpg";"http://media.iamsterdam.com/ndtrc/Images/20120313/9aeed41f-e86c-46c5-957f-b29b44db16d5.jpg";"";"";"12/05/2012";
